komnr,region,fylkesnavn
0,Hele landet,Norge
3101,Halden,Østfold
3103,Moss,Østfold
3105,Sarpsborg,Østfold
3107,Fredrikstad,Østfold
3110,Hvaler,Østfold
3112,Råde,Østfold
3114,Våler,Østfold
3116,Skiptvet,Østfold
3118,Indre Østfold,Østfold
3120,Rakkestad,Østfold
3122,Marker,Østfold
3124,Aremark,Østfold
3201,Bærum,Akershus
3203,Asker,Akershus
3205,Lillestrøm,Akershus
3207,Nordre Follo,Akershus
3209,Ullensaker,Akershus
3212,Nesodden,Akershus
3214,Frogn,Akershus
3216,Vestby,Akershus
3218,Ås,Akershus
3220,Enebakk,Akershus
3222,Lørenskog,Akershus
3224,Rælingen,Akershus
3226,Aurskog-Høland,Akershus
3228,Nes,Akershus
3230,Gjerdrum,Akershus
3232,Nittedal,Akershus
3234,Lunner,Akershus
3236,Jevnaker,Akershus
3238,Nannestad,Akershus
3240,Eidsvoll,Akershus
3242,Hurdal,Akershus
3001,Halden,Østfold
3002,Moss,Østfold
3003,Sarpsborg,Østfold
3004,Fredrikstad,Østfold
3005,Drammen,Buskerud
3006,Kongsberg,Buskerud
3007,Ringerike,Buskerud
3011,Hvaler,Østfold
3012,Aremark,Østfold
3013,Marker,Østfold
3014,Indre Østfold,Østfold
3015,Skiptvet,Østfold
3016,Rakkestad,Østfold
3017,Råde,Østfold
3018,Våler,Østfold
3019,Vestby,Akershus
3020,Nordre Follo,Akershus
3021,Ås,Akershus
3022,Frogn,Akershus
3023,Nesodden,Akershus
3024,Bærum,Akershus
3025,Asker,Akershus
3026,Aurskog-Høland,Akershus
3027,Rælingen,Akershus
3028,Enebakk,Akershus
3029,Lørenskog,Akershus
3030,Lillestrøm,Akershus
3031,Nittedal,Akershus
3032,Gjerdrum,Akershus
3033,Ullensaker,Akershus
3034,Nes,Akershus
3035,Eidsvoll,Akershus
3036,Nannestad,Akershus
3037,Hurdal,Akershus
3038,Hole,Buskerud
3039,Flå,Buskerud
3040,Nesbyen,Buskerud
3041,Gol,Buskerud
3042,Hemsedal,Buskerud
3043,Ål,Buskerud
3044,Hol,Buskerud
3045,Sigdal,Buskerud
3046,Krødsherad,Buskerud
3047,Modum,Buskerud
3048,Øvre Eiker,Buskerud
3049,Lier,Buskerud
3050,Flesberg,Buskerud
3051,Rollag,Buskerud
3052,Nore og Uvdal,Buskerud
3053,Jevnaker,Akershus
3054,Lunner,Akershus
0101,Halden,Østfold
0104,Moss,Østfold
0105,Sarpsborg,Østfold
0106,Fredrikstad,Østfold
0111,Hvaler,Østfold
0118,Aremark,Østfold
0119,Marker,Østfold
0121,Rømskog,Østfold
0122,Trøgstad,Østfold
0123,Spydeberg,Østfold
0124,Askim,Østfold
0125,Eidsberg,Østfold
0127,Skiptvet,Østfold
0128,Rakkestad,Østfold
0135,Råde,Østfold
0136,Rygge,Akershus
0137,Våler,Østfold
0138,Hobøl,Akershus
0211,Vestby,Akershus
0213,Ski,Akershus
0214,Ås,Akershus
0215,Frogn,Akershus
0216,Nesodden,Akershus
0217,Oppegård,Akershus
0219,Bærum,Akershus
0220,Asker,Akershus
0221,Aurskog-Høland,Akershus
0226,Sørum,Akershus
0227,Fet,Akershus
0228,Rælingen,Akershus
0229,Enebakk,Akershus
0230,Lørenskog,Akershus
0231,Skedsmo,Akershus
0233,Nittedal,Akershus
0234,Gjerdrum,Akershus
0235,Ullensaker,Akershus
0236,Nes,Akershus
0237,Eidsvoll,Akershus
0238,Nannestad,Akershus
0239,Hurdal,Akershus
03,Oslo,Oslo
0301,Oslo,Oslo
3301,Drammen,Buskerud
3303,Kongsberg,Buskerud
3305,Ringerike,Buskerud
3310,Hole,Buskerud
3312,Lier,Buskerud
3314,Øvre Eiker,Buskerud
3316,Modum,Buskerud
3318,Krødsherad,Buskerud
3320,Flå,Buskerud
3322,Nesbyen,Buskerud
3324,Gol,Buskerud
3326,Hemsedal,Buskerud
3328,Ål,Buskerud
3330,Hol,Buskerud
3332,Sigdal,Buskerud
3334,Flesberg,Buskerud
3336,Rollag,Buskerud
3338,Nore og Uvdal,Buskerud
3401,Kongsvinger,Innlandet
3403,Hamar,Innlandet
3405,Lillehammer,Innlandet
3407,Gjøvik,Innlandet
3411,Ringsaker,Innlandet
3412,Løten,Innlandet
3413,Stange,Innlandet
3414,Nord-Odal,Innlandet
3415,Sør-Odal,Innlandet
3416,Eidskog,Innlandet
3417,Grue,Innlandet
3418,Åsnes,Innlandet
3419,Våler,Østfold
3420,Elverum,Innlandet
3421,Trysil,Innlandet
3422,Åmot,Innlandet
3423,Stor-Elvdal,Innlandet
3424,Rendalen,Innlandet
3425,Engerdal,Innlandet
3426,Tolga,Innlandet
3427,Tynset,Innlandet
3428,Alvdal,Innlandet
3429,Folldal,Innlandet
3430,Os,Akershus
3431,Dovre,Innlandet
3432,Lesja,Innlandet
3433,Skjåk,Innlandet
3434,Lom,Innlandet
3435,Vågå,Innlandet
3436,Nord-Fron,Innlandet
3437,Sel,Innlandet
3438,Sør-Fron,Innlandet
3439,Ringebu,Innlandet
3440,Øyer,Innlandet
3441,Gausdal,Innlandet
3442,Østre Toten,Innlandet
3443,Vestre Toten,Innlandet
3446,Gran,Innlandet
3447,Søndre Land,Innlandet
3448,Nordre Land,Innlandet
3449,Sør-Aurdal,Innlandet
3450,Etnedal,Innlandet
3451,Nord-Aurdal,Innlandet
3452,Vestre Slidre,Innlandet
3453,Øystre Slidre,Innlandet
3454,Vang,Innlandet
0402,Kongsvinger,Innlandet
0403,Hamar,Innlandet
0412,Ringsaker,Innlandet
0415,Løten,Innlandet
0417,Stange,Innlandet
0418,Nord-Odal,Innlandet
0419,Sør-Odal,Innlandet
0420,Eidskog,Innlandet
0423,Grue,Innlandet
